[2026-05-07T20:37:57.965Z] GET http://localhost:8765/ → 200 (6ms, 21871B)
[2026-05-07T20:37:57.976Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600;700&family=Source+Serif+Pro:ital,wght@0,400;0,600;1,400&family=JetBrains+Mono:wght@400;500;600&display=swap → 200 (93ms, 24669B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/css/site.css → 200 (5ms, 10868B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/css/widget.css → 200 (4ms, 6064B)
[2026-05-07T20:37:57.976Z] GET https://cdn.jsdelivr.net/npm/mathjax@3/es5/tex-svg.js → 200 (192ms, 2108580B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_intro_e2e_nanogpt.png → 200 (4ms, 93110B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_intro_e2e_llama350m.png → 200 (4ms, 95762B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_filtering_frozen_spectrum.png → 200 (5ms, 172098B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_filtering_frozen_ratio.png → 200 (5ms, 177595B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_direction_frozen.png → 200 (5ms, 260382B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_online_direction.png → 200 (97ms, 312804B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_ordering_frozen_beta.png → 200 (97ms, 87607B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_ordering_frozen_checkpoints_full.png → 200 (98ms, 97946B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_online_ordering_beta.png → 200 (97ms, 86652B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/assets/fig_online_ordering_history.png → 200 (98ms, 102029B)
[2026-05-07T20:37:57.976Z] GET http://localhost:8765/js/widget.js → 200 (8ms, 27629B)
